COMMON_NAME,SCIENTIFIC_NAME,CATEGORY,order,family,scientific name,CLASSIFICATION
Golden-winged Warbler,Vermivora chrysoptera,species,Passeriformes,Parulidae (New World Warblers),Vermivora chrysoptera,N
Grace's Warbler,Setophaga graciae,species,Passeriformes,Parulidae (New World Warblers),Setophaga graciae,N
Grasshopper Sparrow,Ammodramus savannarum,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Ammodramus savannarum,N
Gray Catbird,Dumetella carolinensis,species,Passeriformes,Mimidae (Mockingbirds and Thrashers),Dumetella carolinensis,N
Gray Flycatcher,Empidonax wrightii,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax wrightii,N
Gray Hawk,Buteo plagiatus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteo plagiatus,N
Gray Jay,Perisoreus canadensis,species,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Perisoreus canadensis,N
Gray Kingbird,Tyrannus dominicensis,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus dominicensis,N
Gray Partridge,Perdix perdix,species,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Perdix perdix,E
Gray Vireo,Vireo vicinior,species,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo vicinior,N
Gray-cheeked Thrush,Catharus minimus,species,Passeriformes,Turdidae (Thrushes and Allies),Catharus minimus,N
Gray-crowned Rosy-Finch,Leucosticte tephrocotis,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Leucosticte tephrocotis,N
Gray-headed Swamphen,Porphyrio poliocephalus,species,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Porphyrio poliocephalus,E
Graylag Goose (Domestic type),Anser anser (Domestic type),domestic,NA,NA,NA,E
Gray-tailed Tattler,Tringa brevipes,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Tringa brevipes,N
Great Black-backed Gull,Larus marinus,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus marinus,N
Great Blue Heron,Ardea herodias,species,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Ardea herodias,N
Great Cormorant,Phalacrocorax carbo,species,Suliformes,Phalacrocoracidae (Cormorants and Shags),Phalacrocorax carbo,N
Great Crested Flycatcher,Myiarchus crinitus,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Myiarchus crinitus,N
Great Egret,Ardea alba,species,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Ardea alba,N
Great Frigatebird,Fregata minor,species,Suliformes,Fregatidae (Frigatebirds),Fregata minor,N
Great Horned Owl,Bubo virginianus,species,Strigiformes,Strigidae (Owls),Bubo virginianus,N
Great Kiskadee,Pitangus sulphuratus,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Pitangus sulphuratus,N
Great Skua,Stercorarius skua,species,Charadriiformes,Stercorariidae (Skuas and Jaegers),Stercorarius skua,N
Greater Pewee,Contopus pertinax,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Contopus pertinax,N
Greater Prairie-Chicken,Tympanuchus cupido,species,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Tympanuchus cupido,N
Greater Roadrunner,Geococcyx californianus,species,Cuculiformes,Cuculidae (Cuckoos),Geococcyx californianus,N
Greater Sage-Grouse,Centrocercus urophasianus,species,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Centrocercus urophasianus,N
Greater Scaup,Aythya marila,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya marila,N
Greater White-fronted Goose,Anser albifrons,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser albifrons,N
Greater Yellowlegs,Tringa melanoleuca,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Tringa melanoleuca,N
Great-tailed Grackle,Quiscalus mexicanus,species,Passeriformes,Icteridae (Troupials and Allies),Quiscalus mexicanus,N
Green Heron,Butorides virescens,species,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Butorides virescens,N
Green Jay,Cyanocorax yncas,species,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Cyanocorax yncas,N
Green Kingfisher,Chloroceryle americana,species,Coraciiformes,Alcedinidae (Kingfishers),Chloroceryle americana,N
Green Parakeet,Psittacara holochlorus,species,Psittaciformes,Psittacidae (New World and African Parrots),Psittacara holochlorus,E
Green-tailed Towhee,Pipilo chlorurus,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Pipilo chlorurus,N
